# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Mar 28 06:36:07 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1553769368;2195121394;99584;1579008;0.00;0.00;0.00;389;6168;26228;24672;102;33;0;0;99584;1580288;0.00;0.00;0.00;389;6173;26248;24692;101;33;0;0;99840;1584384;0.00;0.00;0.00;390;6189;26316;24756;101;33;0;0;99840;1586432;0.00;0.00;0.00;390;6197;26348;24788;101;33;0;0;99840;1586944;0.00;0.00;0.00;390;6199;26356;24796;101;33;0;0;100096;1587200;0.00;0.00;0.00;391;6200;26364;24800;101;33;0;0;1076063488;5286144;0.00;0.00;0.00;4203373;20649;16896088;82596;4204866;14535;0;0;1074314496;5283840;0.00;0.00;0.00;4196541;20640;16868724;82560;4197854;14455;0;0;1073766912;5275392;0.00;0.00;0.00;4194402;20607;16860036;82428;4196022;14532;0;0;1058079488;5371904;0.00;0.00;0.00;4133123;20984;16616428;83936;4134604;14647;0;0;1060481280;5377024;0.00;0.00;0.00;4142505;21004;16654036;84016;4144292;15005;0;0;1057553920;5356288;0.00;0.00;0.00;4131070;20923;16607972;83692;4132686;14949;0;0;
1553769369;2195123492;100864;1591296;0.00;0.00;0.00;394;6216;26440;24864;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;101;33;0;0;1061259264;5537024;0.00;0.00;0.00;4145544;21629;16668692;86516;4146419;15377;0;0;1059384064;5488896;0.00;0.00;0.00;4138219;21441;16638640;85764;4139226;15306;0;0;1058346240;5455872;0.00;0.00;0.00;4134165;21312;16621908;85248;4135043;15245;0;0;1043313664;5519616;0.00;0.00;0.00;4075444;21561;16388020;86244;4076732;15530;0;0;1043977216;5472512;0.00;0.00;0.00;4078036;21377;16397652;85508;4079181;15228;0;0;1041691136;5537024;0.00;0.00;0.00;4069106;21629;16362940;86516;4070254;15518;0;0;
1553769370;2195113630;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;1045600768;5380608;0.00;0.00;0.00;4084378;21018;16421584;84072;4085491;14968;0;0;1044284160;5499136;0.00;0.00;0.00;4079235;21481;16402864;85924;4079661;15171;0;0;1043254528;5400064;0.00;0.00;0.00;4075213;21094;16385228;84376;4075976;14871;0;0;1028481792;5323520;0.00;0.00;0.00;4017507;20795;16153208;83180;4018555;14808;0;0;1028460032;5378304;0.00;0.00;0.00;4017422;21009;16153724;84036;4018264;14987;0;0;1026343680;5382144;0.00;0.00;0.00;4009155;21024;16120716;84096;4009825;15026;0;0;
1553769371;2195118710;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;101;33;0;0;1033039360;5430528;0.00;0.00;0.00;4035310;21213;16226092;84852;4036757;15193;0;0;1030487808;5407232;0.00;0.00;0.00;4025343;21122;16185860;84488;4026274;15047;0;0;1031042304;5473280;0.00;0.00;0.00;4027509;21380;16195556;85520;4028321;15138;0;0;1016824832;5444096;0.00;0.00;0.00;3971972;21266;15972952;85064;3973170;15204;0;0;1017597696;5484288;0.00;0.00;0.00;3974991;21423;15985656;85692;3975626;15118;0;0;1017115136;5414656;0.00;0.00;0.00;3973106;21151;15977028;84604;3974005;15152;0;0;
1553769372;2195126310;101632;1592064;0.00;0.00;0.00;397;6219;26464;24876;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;101;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;1020159744;5406208;0.00;0.00;0.00;3984999;21118;16024468;84472;3985841;14987;0;0;1018554880;5526784;0.00;0.00;0.00;3978730;21589;16001276;86356;3979103;15214;0;0;1017590016;5388288;0.00;0.00;0.00;3974961;21048;15984036;84192;3975610;15005;0;0;1006797312;5507584;0.00;0.00;0.00;3932802;21514;15817264;86056;3933930;15411;0;0;1006692096;5379584;0.00;0.00;0.00;3932391;21014;15813620;84056;3933139;15026;0;0;1005031424;5447168;0.00;0.00;0.00;3925904;21278;15788728;85112;3926955;15138;0;0;
1553769373;2195118124;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;101;33;0;0;1011088128;5561088;0.00;0.00;0.00;3949563;21723;15885144;86892;3950380;15597;0;0;1009990656;5476352;0.00;0.00;0.00;3945276;21392;15866672;85568;3946044;15512;0;0;1011077888;5544704;0.00;0.00;0.00;3949523;21659;15884728;86636;3950360;15356;0;0;1000770048;5592832;0.00;0.00;0.00;3909258;21847;15724420;87388;3910379;15662;0;0;999684864;5496832;0.00;0.00;0.00;3905019;21472;15705964;85888;3906026;15451;0;0;999126272;5521152;0.00;0.00;0.00;3902837;21567;15697616;86268;3903638;15617;0;0;
1553769374;2195124954;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;101;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;101;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;101;33;0;0;1002253824;5504000;0.00;0.00;0.00;3915054;21500;15746216;86000;3916185;15553;0;0;1000653312;5480960;0.00;0.00;0.00;3908802;21410;15720848;85640;3909691;15310;0;0;1002851840;5482496;0.00;0.00;0.00;3917390;21416;15755224;85664;3918435;15283;0;0;992737792;5539840;0.00;0.00;0.00;3877882;21640;15598088;86560;3879313;15517;0;0;990160384;5517056;0.00;0.00;0.00;3867814;21551;15557460;86204;3868688;15519;0;0;991044864;5501440;0.00;0.00;0.00;3871269;21490;15571036;85960;3871899;15462;0;0;
1553769375;2195115556;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;101;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;992407296;5553152;0.00;0.00;0.00;3876591;21692;15593132;86768;3877665;15592;0;0;991622400;5527552;0.00;0.00;0.00;3873525;21592;15580468;86368;3874544;15547;0;0;992488192;5569536;0.00;0.00;0.00;3876907;21756;15594652;87024;3878092;15747;0;0;986683136;5475584;0.00;0.00;0.00;3854231;21389;15502480;85556;3855763;15407;0;0;982880768;5565440;0.00;0.00;0.00;3839378;21740;15444472;86960;3840358;15779;0;0;983733248;5550336;0.00;0.00;0.00;3842708;21681;15457556;86724;3843672;15614;0;0;
1553769376;2195115278;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;101;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;985751808;5664256;0.00;0.00;0.00;3850593;22126;15490876;88504;3851608;15777;0;0;985584384;5564416;0.00;0.00;0.00;3849939;21736;15486700;86944;3850928;15865;0;0;986795264;5574912;0.00;0.00;0.00;3854669;21777;15505784;87108;3856265;15691;0;0;981559808;5557248;0.00;0.00;0.00;3834218;21708;15423704;86832;3835871;15549;0;0;976931840;5595904;0.00;0.00;0.00;3816140;21859;15351996;87436;3817369;15833;0;0;979006720;5614080;0.00;0.00;0.00;3824245;21930;15384700;87720;3825330;15737;0;0;
1553769377;2195122090;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;101;33;0;0;100352;1589504;0.00;0.00;0.00;392;6209;26404;24836;101;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;101;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;101;33;0;0;979003904;5677568;0.00;0.00;0.00;3824234;22178;15385648;88712;3825299;15762;0;0;979328256;5675776;0.00;0.00;0.00;3825501;22171;15390688;88684;3826288;15790;0;0;978670848;5586944;0.00;0.00;0.00;3822933;21824;15379028;87296;3824643;15345;0;0;974990080;5602048;0.00;0.00;0.00;3808555;21883;15321752;87532;3810179;15556;0;0;969893376;5662976;0.00;0.00;0.00;3788646;22121;15243068;88484;3789893;15625;0;0;970819072;5709056;0.00;0.00;0.00;3792262;22301;15258252;89204;3793536;15918;0;0;
1553769378;2195129544;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;976025344;5644032;0.00;0.00;0.00;3812599;22047;15338584;88188;3813885;15782;0;0;976141312;5746176;0.00;0.00;0.00;3813052;22446;15341992;89784;3813946;15994;0;0;977826304;5625856;0.00;0.00;0.00;3819634;21976;15366440;87904;3821136;15580;0;0;972728320;5656576;0.00;0.00;0.00;3799720;22096;15287264;88384;3800856;15508;0;0;965982976;5666816;0.00;0.00;0.00;3773371;22136;15182028;88544;3774378;15668;0;0;968237568;5704448;0.00;0.00;0.00;3782178;22283;15217844;89132;3783195;15864;0;0;
1553769379;2195121666;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;101;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100864;1591552;0.00;0.00;0.00;394;6217;26444;24868;101;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;101;33;0;0;969554176;5761792;0.00;0.00;0.00;3787321;22507;15239312;90028;3788593;15999;0;0;970002176;5722880;0.00;0.00;0.00;3789071;22355;15245704;89420;3790064;15980;0;0;970004736;5629696;0.00;0.00;0.00;3789081;21991;15244288;87964;3790660;15851;0;0;965201664;5593600;0.00;0.00;0.00;3770319;21850;15168676;87400;3771764;15401;0;0;959090432;5657088;0.00;0.00;0.00;3746447;22098;15074180;88392;3747925;15850;0;0;961039104;5712640;0.00;0.00;0.00;3754059;22315;15105496;89260;3755579;16012;0;0;
1553769380;2195116462;101632;1592064;0.00;0.00;0.00;397;6219;26464;24876;101;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;101;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;101;33;0;0;100096;1592320;0.00;0.00;0.00;391;6220;26444;24880;101;33;0;0;100096;1592320;0.00;0.00;0.00;391;6220;26444;24880;101;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;101;33;0;0;962839808;5754624;0.00;0.00;0.00;3761093;22479;15134288;89916;3762418;15832;0;0;961063168;5679616;0.00;0.00;0.00;3754153;22186;15105356;88744;3755550;15907;0;0;964070912;5572352;0.00;0.00;0.00;3765902;21767;15150676;87068;3767682;15482;0;0;957675520;5577984;0.00;0.00;0.00;3740920;21789;15050836;87156;3742721;15628;0;0;951828992;5688320;0.00;0.00;0.00;3718082;22220;14961208;88880;3719776;15801;0;0;954084096;5749504;0.00;0.00;0.00;3726891;22459;14997400;89836;3728545;16094;0;0;
1553769381;2195117136;100864;1591552;0.00;0.00;0.00;394;6217;26444;24868;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;101;33;0;0;100608;1591040;0.00;0.00;0.00;393;6215;26432;24860;101;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;101;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;101;33;0;0;955640832;5689344;0.00;0.00;0.00;3732972;22224;15020784;88896;3734295;15778;0;0;956027648;5649152;0.00;0.00;0.00;3734483;22067;15026200;88268;3735831;15931;0;0;959113472;5728768;0.00;0.00;0.00;3746537;22378;15075660;89512;3748345;15829;0;0;952431360;5687040;0.00;0.00;0.00;3720435;22215;14970600;88860;3722254;15863;0;0;945113600;5608960;0.00;0.00;0.00;3691850;21910;14855040;87640;3693290;15567;0;0;946383616;5728768;0.00;0.00;0.00;3696811;22378;14876756;89512;3698042;15821;0;0;
